trial,coherence,rt,response,correct,v,a
431,0.25,0.44400000000000006,0,False,1.5,1.5
432,0.25,0.7520000000000003,1,True,1.5,1.5
433,0.25,1.542999999999974,1,True,1.5,1.5
434,0.25,0.45000000000000007,1,True,1.5,1.5
435,0.25,1.0910000000000006,1,True,1.5,1.5
436,0.25,0.5820000000000002,1,True,1.5,1.5
437,0.25,0.6470000000000002,1,True,1.5,1.5
438,0.25,0.6340000000000002,1,True,1.5,1.5
439,0.25,0.44100000000000006,1,True,1.5,1.5
440,0.25,1.887999999999936,1,True,1.5,1.5
441,0.25,0.8340000000000003,0,False,1.5,1.5
442,0.25,0.5540000000000002,1,True,1.5,1.5
443,0.25,0.6210000000000002,1,True,1.5,1.5
444,0.25,0.7460000000000003,1,True,1.5,1.5
445,0.25,0.8540000000000003,1,True,1.5,1.5
446,0.25,0.5240000000000001,1,True,1.5,1.5
447,0.25,0.34600000000000003,1,True,1.5,1.5
448,0.25,0.7190000000000003,1,True,1.5,1.5
449,0.25,0.5080000000000001,0,False,1.5,1.5
450,0.25,0.5440000000000002,1,True,1.5,1.5
451,0.25,1.0390000000000006,0,False,1.5,1.5
452,0.25,0.9290000000000005,1,True,1.5,1.5
453,0.25,0.342,1,True,1.5,1.5
454,0.25,1.1510000000000007,1,True,1.5,1.5
455,0.25,0.4950000000000001,0,False,1.5,1.5
456,0.25,0.35200000000000004,0,False,1.5,1.5
457,0.25,0.5460000000000002,1,True,1.5,1.5
458,0.25,0.45200000000000007,1,True,1.5,1.5
459,0.25,0.5230000000000001,1,True,1.5,1.5
460,0.25,0.5850000000000002,1,True,1.5,1.5
461,0.25,0.9040000000000004,1,True,1.5,1.5
462,0.25,0.8210000000000004,1,True,1.5,1.5
463,0.25,1.3839999999999915,1,True,1.5,1.5
464,0.25,0.5030000000000001,1,True,1.5,1.5
465,0.25,0.34700000000000003,1,True,1.5,1.5
466,0.25,0.3940000000000001,1,True,1.5,1.5
467,0.25,0.45600000000000007,1,True,1.5,1.5
468,0.25,0.4610000000000001,0,False,1.5,1.5
469,0.25,0.4930000000000001,1,True,1.5,1.5
470,0.25,1.1550000000000007,1,True,1.5,1.5
471,0.25,0.6940000000000003,1,True,1.5,1.5
472,0.25,0.7950000000000004,1,True,1.5,1.5
473,0.25,0.5950000000000002,1,True,1.5,1.5
474,0.25,1.0210000000000006,1,True,1.5,1.5
475,0.25,1.0330000000000006,1,True,1.5,1.5
476,0.25,0.5840000000000002,1,True,1.5,1.5
477,0.25,0.8310000000000004,1,True,1.5,1.5
478,0.25,0.4080000000000001,1,True,1.5,1.5
479,0.25,0.6860000000000003,1,True,1.5,1.5
480,0.25,0.5150000000000001,1,True,1.5,1.5
481,0.25,0.9090000000000005,1,True,1.5,1.5
482,0.25,0.5170000000000001,1,True,1.5,1.5
483,0.25,0.5630000000000002,1,True,1.5,1.5
484,0.25,0.5180000000000001,1,True,1.5,1.5
485,0.25,0.7320000000000003,1,True,1.5,1.5
486,0.25,1.0310000000000006,1,True,1.5,1.5
487,0.25,0.6270000000000002,1,True,1.5,1.5
488,0.25,0.6200000000000002,1,True,1.5,1.5
489,0.25,0.45000000000000007,1,True,1.5,1.5
490,0.25,0.44600000000000006,1,True,1.5,1.5
491,0.25,0.6240000000000002,1,True,1.5,1.5
492,0.25,1.8989999999999347,0,False,1.5,1.5
493,0.25,0.38700000000000007,1,True,1.5,1.5
494,0.25,0.38700000000000007,1,True,1.5,1.5
495,0.25,0.5250000000000001,1,True,1.5,1.5
496,0.25,2.2089999999999006,1,True,1.5,1.5
497,0.25,0.6640000000000003,0,False,1.5,1.5
498,0.25,0.9070000000000005,1,True,1.5,1.5
499,0.25,0.4160000000000001,1,True,1.5,1.5
500,0.25,1.4819999999999807,1,True,1.5,1.5
501,0.25,0.6270000000000002,1,True,1.5,1.5
502,0.25,0.43600000000000005,1,True,1.5,1.5
503,0.25,0.39100000000000007,0,False,1.5,1.5
504,0.25,0.4930000000000001,1,True,1.5,1.5
505,0.25,0.9160000000000004,1,True,1.5,1.5
506,0.25,0.6800000000000003,1,True,1.5,1.5
507,0.25,0.9140000000000004,1,True,1.5,1.5
508,0.25,0.6110000000000002,1,True,1.5,1.5
509,0.25,0.9890000000000005,1,True,1.5,1.5
510,0.25,0.5430000000000001,1,True,1.5,1.5
511,0.25,1.478999999999981,1,True,1.5,1.5
512,0.25,0.5470000000000002,1,True,1.5,1.5
513,0.25,0.5750000000000002,1,True,1.5,1.5
514,0.25,0.7860000000000004,1,True,1.5,1.5
515,0.25,0.7970000000000004,1,True,1.5,1.5
